Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2020-07-10,15,0,bus1,0.0,0.0,0.0,14.77525,35.80581
2020-07-10,15,0,bus4,55.879,0.0,0.0,14.77525,35.80581
2020-07-10,15,0,bus5,0.0,0.0,0.0,14.77525,35.80581
2020-07-10,15,0,bus2,47.6985,0.0,0.0,14.77525,35.80581
2020-07-10,15,0,bus3,47.6985,0.0,0.0,14.77525,35.80581
2020-07-10,16,0,bus1,0.0,0.0,0.0,14.77525,15.15425
2020-07-10,16,0,bus4,53.376,0.0,0.0,14.77525,15.15425
2020-07-10,16,0,bus5,0.0,0.0,0.0,14.77525,15.15425
2020-07-10,16,0,bus2,47.585,0.0,0.0,14.77525,15.15425
2020-07-10,16,0,bus3,47.585,0.0,0.0,14.77525,15.15425
2020-07-10,17,0,bus1,0.0,0.0,0.0,15.15425,15.15425
2020-07-10,17,0,bus4,51.919,0.0,0.0,15.15425,15.15425
2020-07-10,17,0,bus5,0.0,0.0,0.0,15.15425,15.15425
2020-07-10,17,0,bus2,47.3685,0.0,0.0,15.15425,15.15425
2020-07-10,17,0,bus3,47.3685,0.0,0.0,15.15425,15.15425
2020-07-10,18,0,bus1,0.0,0.0,0.0,15.15425,15.15425
2020-07-10,18,0,bus4,47.741,0.0,0.0,15.15425,15.15425
2020-07-10,18,0,bus5,0.0,0.0,0.0,15.15425,15.15425
2020-07-10,18,0,bus2,44.663,0.0,0.0,15.15425,15.15425
2020-07-10,18,0,bus3,44.663,0.0,0.0,15.15425,15.15425
2020-07-10,19,0,bus1,0.0,0.0,0.0,15.15425,97.462558
2020-07-10,19,0,bus4,46.631,0.0,0.0,15.15425,97.462558
2020-07-10,19,0,bus5,0.0,0.0,0.0,15.15425,97.462558
2020-07-10,19,0,bus2,44.6915,0.0,0.0,15.15425,97.462558
2020-07-10,19,0,bus3,44.6915,0.0,0.0,15.15425,97.462558
2020-07-10,20,0,bus1,0.0,0.0,0.0,15.15425,106.64344
2020-07-10,20,0,bus4,45.593,0.0,0.0,15.15425,106.64344
2020-07-10,20,0,bus5,0.0,0.0,0.0,15.15425,106.64344
2020-07-10,20,0,bus2,42.9945,0.0,0.0,15.15425,106.64344
2020-07-10,20,0,bus3,42.9945,0.0,0.0,15.15425,106.64344
2020-07-10,21,0,bus1,0.0,0.0,0.0,73.396875,18.87156
2020-07-10,21,0,bus4,42.744,0.0,0.0,73.396875,18.87156
2020-07-10,21,0,bus5,0.0,0.0,0.0,73.396875,18.87156
2020-07-10,21,0,bus2,40.666,0.0,0.0,73.396875,18.87156
2020-07-10,21,0,bus3,40.666,0.0,0.0,73.396875,18.87156
2020-07-10,22,0,bus1,0.0,0.0,0.0,15.15425,18.872457
2020-07-10,22,0,bus4,38.111,0.0,0.0,15.15425,18.872457
2020-07-10,22,0,bus5,0.0,0.0,0.0,15.15425,18.872457
2020-07-10,22,0,bus2,37.81,0.0,0.0,15.15425,18.872457
2020-07-10,22,0,bus3,37.81,0.0,0.0,15.15425,18.872457
2020-07-10,23,0,bus1,0.0,0.0,0.0,15.15425,18.864391
2020-07-10,23,0,bus4,39.331,0.0,0.0,15.15425,18.864391
2020-07-10,23,0,bus5,0.0,0.0,0.0,15.15425,18.864391
2020-07-10,23,0,bus2,34.7555,0.0,0.0,15.15425,18.864391
2020-07-10,23,0,bus3,34.7555,0.0,0.0,15.15425,18.864391
