Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2020-07-10,0,1432.4475,1432.4475,0.0,0.0,0.0,0,85.272,21.04,103.272,13.870628
2020-07-10,1,618.1125,618.1125,0.0,0.0,0.0,0,88.386,42.211,98.386,6.282525
2020-07-10,2,618.1125,618.1125,0.0,0.0,0.0,0,83.932,33.142,93.932,6.580425
2020-07-10,3,874.29622,618.1125,256.18372,0.0,0.0,0,62.647,0.0,91.752,9.528906
2020-07-10,4,618.1125,618.1125,0.0,0.0,0.0,0,81.29,20.249,91.29,6.770868
2020-07-10,5,618.1125,618.1125,0.0,0.0,0.0,0,81.959,42.99,91.959,6.72161
2020-07-10,6,618.1125,618.1125,0.0,0.0,0.0,0,85.864,4.019,95.864,6.447806
2020-07-10,7,903.20656,618.1125,285.09406,0.0,0.0,0,76.203,0.0,107.464,8.404736
2020-07-10,8,1040.6916,618.1125,422.5791,0.0,0.0,0,76.444,0.0,117.958,8.822561
2020-07-10,9,1137.73435,618.1125,519.62185,0.0,0.0,0,74.988,0.0,123.739,9.19463
2020-07-10,10,1305.40401,618.1125,687.29151,0.0,0.0,0,71.931,0.0,133.07,9.809905
2020-07-10,11,1362.58423,618.1125,744.47173,0.0,0.0,0,72.989,0.0,137.998,9.873942
2020-07-10,12,1385.95867,618.1125,767.84617,0.0,0.0,0,73.162,0.0,139.753,9.917202
2020-07-10,13,2229.08855,1471.26,757.82855,0.0,0.0,0,70.558,0.0,144.471,15.429315
2020-07-10,14,2295.81566,1432.4475,863.36816,0.0,0.0,0,72.935,0.0,153.991,14.908765
2020-07-10,15,2277.99671,1432.4475,845.54921,0.0,0.0,0,71.426,0.0,151.276,15.058547
2020-07-10,16,2287.54152,1432.4475,855.09402,0.0,0.0,0,68.05,0.0,148.546,15.39955
2020-07-10,17,4049.4089,3019.6875,1029.7214,0.0,0.0,0,57.449,0.0,146.656,27.611614
2020-07-10,18,3075.3594,1964.0475,1111.3119,0.0,0.0,0,42.476,0.0,137.067,22.436906
2020-07-10,19,3856.6758,2817.195,1039.4808,0.0,0.0,0,38.163,0.0,136.014,28.354991
2020-07-10,20,3949.8416,2778.3825,1171.4591,0.0,0.0,0,25.022,0.0,131.582,30.0181
2020-07-10,21,2887.56108,1432.4475,1455.11358,0.0,0.0,0,13.541,0.0,124.076,23.272519
2020-07-10,22,2582.3876,1432.4475,1149.9401,0.0,0.0,0,13.591,0.0,113.731,22.706101
2020-07-10,23,1806.7869,618.1125,1188.6744,0.0,0.0,0,14.146,0.0,108.842,16.600089
