Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2020-07-10,0,0.0,0,97.0,0.0
2020-07-10,1,0.0,0,90.0,0.0
2020-07-10,2,0.0,0,90.0,0.0
2020-07-10,3,0.0,0,80.257,0.0
2020-07-10,4,0.0,0,90.0,0.0
2020-07-10,5,0.0,0,90.0,0.0
2020-07-10,6,0.0,0,90.0,0.0
2020-07-10,7,0.0,0,74.764,0.0
2020-07-10,8,0.0,0,64.161,0.0
2020-07-10,9,0.0,0,54.861,0.0
2020-07-10,10,0.0,0,44.732,0.0
2020-07-10,11,0.0,0,40.19,0.0
2020-07-10,12,0.0,0,35.178,0.0
2020-07-10,13,0.0,0,30.048,0.0
2020-07-10,14,0.0,0,33.444,0.0
2020-07-10,15,0.0,0,33.029,0.0
2020-07-10,16,0.0,0,28.88,0.0
2020-07-10,17,0.0,0,14.712,0.0
2020-07-10,18,0.0,0,9.15,0.0
2020-07-10,19,0.0,0,19.78,0.0
2020-07-10,20,0.0,0,19.033,0.0
2020-07-10,21,0.0,0,5.209,0.0
2020-07-10,22,0.0,0,3.762,0.0
2020-07-10,23,0.0,0,8.635,0.0
