Generator,Date,Hour,Horizon [hr],Thermal Power Generated [MW],On/off [bin],Start Up [bin],Shut Down [bin],Production Cost [$],Start-up Cost [$],Total Cost [$],Mileage [MW],Scenario,Market
10_STEAM,2020-07-10,13,9,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,10,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,11,30.0,1,0,0,905.0,0.0,905.0,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,12,30.0,1,0,0,905.0,0.0,905.0,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,13,76.0,1,0,0,1669.71,0.0,1669.71,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,14,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,15,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,16,30.0,1,0,0,905.0,0.0,905.0,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,17,76.0,1,0,0,1669.71,0.0,1669.71,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,18,30.0,1,0,0,905.0,0.0,905.0,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,19,76.0,1,0,0,1669.71,0.0,1669.71,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,20,30.0,1,0,0,905.0,0.0,905.0,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,21,76.0,1,0,0,1669.71,0.0,1669.71,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,22,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,23,30.0,1,0,0,905.0,0.0,905.0,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,24,76.0,1,0,0,1669.71,0.0,1669.71,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,25,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,26,30.0,1,0,0,905.0,0.0,905.0,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,27,60.7,1,0,0,1389.97,0.0,1389.97,30.7,1,Day-ahead
10_STEAM,2020-07-10,13,28,76.0,1,0,0,1669.71,0.0,1669.71,15.3,1,Day-ahead
10_STEAM,2020-07-10,13,29,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,30,76.0,1,0,0,1669.71,0.0,1669.71,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,31,30.0,1,0,0,905.0,0.0,905.0,46.0,1,Day-ahead
10_STEAM,2020-07-10,13,32,30.0,1,0,0,905.0,0.0,905.0,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,33,30.0,1,0,0,905.0,0.0,905.0,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,34,30.0,1,0,0,905.0,0.0,905.0,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,35,30.0,1,0,0,905.0,0.0,905.0,0.0,1,Day-ahead
10_STEAM,2020-07-10,13,36,76.0,1,0,0,1669.71,0.0,1669.71,46.0,1,Day-ahead
