Generator,Date,Hour,Market,Power 0 [MW],Cost 0 [$],Power 1 [MW],Cost 1 [$],Power 2 [MW],Cost 2 [$],Power 3 [MW],Cost 3 [$],Power 4 [MW],Cost 4 [$],Power 5 [MW],Cost 5 [$],Power 6 [MW],Cost 6 [$],Power 7 [MW],Cost 7 [$],Power 8 [MW],Cost 8 [$],Power 9 [MW],Cost 9 [$]
10_STEAM,2020-07-10,13,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,14,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1817.2989989881335,,,,,,,,,,,,
10_STEAM,2020-07-10,15,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1823.2659989740937,,,,,,,,,,,,
10_STEAM,2020-07-10,16,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,17,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,3238.2099956448137,,,,,,,,,,,,
10_STEAM,2020-07-10,18,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,4510.251992651773,,,,,,,,,,,,
10_STEAM,2020-07-10,19,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,20,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,2364.273997701134,,,,,,,,,,,,
10_STEAM,2020-07-10,21,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1869.6249988650136,,,,,,,,,,,,
10_STEAM,2020-07-10,22,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
