Generator,Date,Hour,Horizon [hr],Thermal Power Generated [MW],On/off [bin],Start Up [bin],Shut Down [bin],Production Cost [$],Start-up Cost [$],Total Cost [$],Mileage [MW]
10_STEAM,2021-07-26,17:00,0,30.0,1,0,0,905.0,0.0,905.0,0.0
10_STEAM,2021-07-26,17:00,1,40.0,1,0,0,1049.03,0.0,1049.03,10.0
10_STEAM,2021-07-26,17:00,2,50.0,1,0,0,1206.12,0.0,1206.12,10.0
10_STEAM,2021-07-26,17:00,3,70.0,1,0,0,1560.01,0.0,1560.01,20.0
