Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2020-07-10,0,1432.4475,1432.4475,0.0,0.0,0.0,0,73.95,32.362,91.95,15.578548
2020-07-10,1,618.1125,618.1125,0.0,0.0,0.0,0,78.575,52.022,88.575,6.978408
2020-07-10,2,618.1125,618.1125,0.0,0.0,0.0,0,75.596,41.478,85.596,7.221278
2020-07-10,3,775.57732,618.1125,157.46482,0.0,0.0,0,62.647,0.0,84.39,9.190394
2020-07-10,4,618.1125,618.1125,0.0,0.0,0.0,0,73.372,28.167,83.372,7.41391
2020-07-10,5,618.1125,618.1125,0.0,0.0,0.0,0,73.24,51.709,83.24,7.425667
2020-07-10,6,618.1125,618.1125,0.0,0.0,0.0,0,76.162,13.721,86.162,7.173841
2020-07-10,7,715.141833,618.1125,97.029333,0.0,0.0,0,76.203,0.0,93.439,7.653569
2020-07-10,8,803.68311,618.1125,185.57061,0.0,0.0,0,76.444,0.0,100.283,8.014151
2020-07-10,9,901.57064,618.1125,283.45814,0.0,0.0,0,74.988,0.0,106.127,8.495205
2020-07-10,10,1010.57443,618.1125,392.46193,0.0,0.0,0,71.931,0.0,111.199,9.087981
2020-07-10,11,1058.06999,618.1125,439.95749,0.0,0.0,0,72.989,0.0,115.799,9.137125
2020-07-10,12,1111.8679,618.1125,493.7554,0.0,0.0,0,73.162,0.0,119.984,9.266801
2020-07-10,13,1194.06661,618.1125,575.95411,0.0,0.0,0,70.558,0.0,123.51,9.667773
2020-07-10,14,1161.93804,618.1125,543.82554,0.0,0.0,0,72.935,0.0,123.491,9.409091
2020-07-10,15,1180.91213,618.1125,562.79963,0.0,0.0,0,71.426,0.0,123.397,9.570023
2020-07-10,16,1223.13786,618.1125,605.02536,0.0,0.0,0,68.05,0.0,123.17,9.930485
2020-07-10,17,1366.70652,618.1125,748.59402,0.0,0.0,0,57.449,0.0,122.737,11.135245
2020-07-10,18,2242.93296,1471.26,771.67296,0.0,0.0,0,42.476,0.0,117.326,19.117101
2020-07-10,19,4596.38706,3834.0225,762.36456,0.0,0.0,0,38.163,0.0,117.383,39.157178
2020-07-10,20,3684.76142,2778.3825,906.37892,0.0,0.0,0,25.022,0.0,113.989,32.325588
2020-07-10,21,3786.6455,2778.3825,1008.263,0.0,0.0,0,13.541,0.0,109.332,34.634375
2020-07-10,22,3006.2257,1964.0475,1042.1782,0.0,0.0,0,13.591,0.0,103.62,29.012022
2020-07-10,23,1635.0741,618.1125,1016.9616,0.0,0.0,0,14.146,0.0,97.511,16.768099
