Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2020-07-10,0,0.0,0,97.0,0.0
2020-07-10,1,0.0,0,90.0,0.0
2020-07-10,2,0.0,0,90.0,0.0
2020-07-10,3,0.0,0,78.257,0.0
2020-07-10,4,0.0,0,90.0,0.0
2020-07-10,5,0.0,0,90.0,0.0
2020-07-10,6,0.0,0,90.0,0.0
2020-07-10,7,0.0,0,82.764,0.0
2020-07-10,8,0.0,0,76.161,0.0
2020-07-10,9,0.0,0,68.861,0.0
2020-07-10,10,0.0,0,60.732,0.0
2020-07-10,11,0.0,0,57.19,0.0
2020-07-10,12,0.0,0,53.178,0.0
2020-07-10,13,0.0,0,47.048,0.0
2020-07-10,14,0.0,0,49.444,0.0
2020-07-10,15,0.0,0,48.029,0.0
2020-07-10,16,0.0,0,44.88,0.0
2020-07-10,17,0.0,0,34.712,0.0
2020-07-10,18,0.0,0,33.15,0.0
2020-07-10,19,0.0,0,45.78,0.0
2020-07-10,20,0.0,0,43.033,0.0
2020-07-10,21,0.0,0,25.209,0.0
2020-07-10,22,0.0,0,15.971,0.0
2020-07-10,23,0.0,0,16.635,0.0
