Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2020-07-10,0,0.0,0,97.0,0.0
2020-07-10,1,0.0,0,90.0,0.0
2020-07-10,2,0.0,0,90.0,0.0
2020-07-10,3,0.0,0,76.257,0.0
2020-07-10,4,0.0,0,90.0,0.0
2020-07-10,5,0.0,0,90.0,0.0
2020-07-10,6,0.0,0,90.0,0.0
2020-07-10,7,0.0,0,80.764,0.0
2020-07-10,8,0.0,0,74.161,0.0
2020-07-10,9,0.0,0,66.861,0.0
2020-07-10,10,0.0,0,58.732,0.0
2020-07-10,11,0.0,0,55.19,0.0
2020-07-10,12,0.0,0,51.178,0.0
2020-07-10,13,0.0,0,45.048,0.0
2020-07-10,14,0.0,0,47.444,0.0
2020-07-10,15,0.0,0,46.029,0.0
2020-07-10,16,0.0,0,42.88,0.0
2020-07-10,17,0.0,0,32.712,0.0
2020-07-10,18,0.0,0,23.15,0.0
2020-07-10,19,0.0,0,18.78,0.0
2020-07-10,20,0.0,0,17.033,0.0
2020-07-10,21,0.0,0,2.209,0.0
2020-07-10,22,0.0,0,7.971,0.0
2020-07-10,23,0.0,0,14.635,0.0
