Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2020-07-10,0,1432.4475,1432.4475,0.0,0.0,0.0,0,75.95,30.362,93.95,15.246913
2020-07-10,1,618.1125,618.1125,0.0,0.0,0.0,0,80.575,50.022,90.575,6.824317
2020-07-10,2,618.1125,618.1125,0.0,0.0,0.0,0,77.596,39.478,87.596,7.056401
2020-07-10,3,802.39582,618.1125,184.28332,0.0,0.0,0,62.647,0.0,86.39,9.288064
2020-07-10,4,618.1125,618.1125,0.0,0.0,0.0,0,75.372,26.167,85.372,7.240225
2020-07-10,5,618.1125,618.1125,0.0,0.0,0.0,0,75.24,49.709,85.24,7.251437
2020-07-10,6,618.1125,618.1125,0.0,0.0,0.0,0,78.162,11.721,88.162,7.011099
2020-07-10,7,741.96033,618.1125,123.84783,0.0,0.0,0,76.203,0.0,95.439,7.774184
2020-07-10,8,830.50161,618.1125,212.38911,0.0,0.0,0,76.444,0.0,102.283,8.119645
2020-07-10,9,928.38914,618.1125,310.27664,0.0,0.0,0,74.988,0.0,108.127,8.586099
2020-07-10,10,1037.39293,618.1125,419.28043,0.0,0.0,0,71.931,0.0,113.199,9.164329
2020-07-10,11,1084.88849,618.1125,466.77599,0.0,0.0,0,72.989,0.0,117.799,9.209658
2020-07-10,12,1138.6864,618.1125,520.5739,0.0,0.0,0,73.162,0.0,121.984,9.334719
2020-07-10,13,1220.88511,618.1125,602.77261,0.0,0.0,0,70.558,0.0,125.51,9.727393
2020-07-10,14,1188.75654,618.1125,570.64404,0.0,0.0,0,72.935,0.0,125.491,9.472843
2020-07-10,15,1207.73063,618.1125,589.61813,0.0,0.0,0,71.426,0.0,125.397,9.631256
2020-07-10,16,1249.95636,618.1125,631.84386,0.0,0.0,0,68.05,0.0,125.17,9.98607
2020-07-10,17,1396.25702,618.1125,778.14452,0.0,0.0,0,57.449,0.0,124.737,11.193608
2020-07-10,18,1537.53796,618.1125,919.42546,0.0,0.0,0,42.476,0.0,119.326,12.885188
2020-07-10,19,1602.56819,618.1125,984.45569,0.0,0.0,0,38.163,0.0,119.383,13.423755
2020-07-10,20,2482.1902,1471.26,1010.9302,0.0,0.0,0,25.022,0.0,115.989,21.400221
2020-07-10,21,1853.6893,618.1125,1235.5768,0.0,0.0,0,13.541,0.0,111.332,16.650103
2020-07-10,22,1766.3705,618.1125,1148.258,0.0,0.0,0,13.591,0.0,105.62,16.723826
2020-07-10,23,1665.3826,618.1125,1047.2701,0.0,0.0,0,14.146,0.0,99.511,16.735663
